timestamps,TP9,AF7,AF8,TP10,Right AUX
1575280167.800,-174.805,999.512,999.512,-964.844,-211.914
1575280167.804,-913.574,999.512,999.512,493.652,131.348
1575280167.808,905.273,999.512,999.512,619.629,255.371
1575280167.812,-395.020,999.512,999.512,-981.934,-7.324
1575280167.816,-1000.000,999.512,999.512,-926.758,-288.574
1575280167.820,-301.270,999.512,999.512,-1000.000,-254.395
1575280167.824,980.469,999.512,998.535,-62.500,20.508
1575280167.828,-922.363,999.512,993.652,496.094,176.758
1575280167.831,-107.910,999.512,-981.445,-974.121,-0.488
1575280167.835,-1000.000,999.512,727.051,-940.430,-285.156
1575280167.839,-482.422,999.512,711.914,-1000.000,-336.914
1575280167.843,861.328,999.512,-229.492,-164.551,-104.980
1575280167.847,-836.914,999.512,-1000.000,918.945,193.359
1575280167.851,79.102,-999.512,308.105,-563.477,243.652
1575280167.855,-1000.000,993.164,-933.105,-1000.000,-19.043
1575280167.859,-901.855,934.082,-927.246,-1000.000,-319.824
1575280167.863,369.629,-804.199,235.352,-455.566,-479.492
1575280167.867,-743.652,0.488,-991.699,773.438,-97.656
1575280167.871,138.672,-630.859,-1000.000,-483.398,311.035
1575280167.874,-988.281,900.879,126.953,-1000.000,37.598
1575280167.878,-1000.000,-994.629,994.629,-921.387,-305.176
1575280167.882,-92.773,-920.410,-551.270,-983.398,-519.043
1575280167.886,-764.160,218.262,-1000.000,-195.312,-269.043
1575280167.890,183.105,-1000.000,-906.738,-554.688,240.723
1575280167.894,-995.605,-952.148,-978.027,-1000.000,101.074
1575280167.898,-1000.000,-944.336,-899.902,-921.387,-193.848
1575280167.902,-225.098,-977.051,-951.660,-979.004,-370.117
1575280167.906,-797.363,-970.215,-915.527,-970.215,-279.785
1575280167.910,190.430,-970.215,-1000.000,-970.215,199.707
1575280167.913,-994.629,-970.215,-311.035,-970.703,205.566
1575280167.917,-1000.000,-970.215,-818.359,-970.703,-122.559
1575280167.921,-468.262,-970.215,520.020,-970.215,-298.340
1575280167.925,-897.461,-974.609,-875.000,-970.215,-333.496
1575280167.929,230.957,-949.219,-1000.000,-970.703,42.969
1575280167.933,-1000.000,-1000.000,-158.691,-970.215,208.496
1575280167.937,-1000.000,-847.656,-794.922,-970.215,-152.832
1575280167.941,-836.426,-649.414,196.289,-970.215,-356.934
1575280167.945,747.070,-949.219,-1000.000,-970.215,-364.746
1575280167.949,314.941,-992.188,-948.242,-970.215,5.371
1575280167.953,-1000.000,-954.102,-943.359,-970.703,179.199
1575280167.956,-909.180,-973.633,-977.051,-970.215,-125.000
1575280167.960,-1000.000,-970.215,-970.215,-970.215,-364.746
1575280167.964,288.574,-970.215,-970.215,-970.215,-438.477
1575280167.968,473.145,-970.215,-970.703,-970.215,-35.156
1575280167.972,-1000.000,-970.215,-970.703,-970.215,311.523
1575280167.976,-917.480,-970.703,-970.215,-970.215,105.957
1575280167.980,-1000.000,-970.215,-970.215,-970.215,-192.383
1575280167.984,107.910,-970.215,-970.703,-970.215,-461.914
1575280167.988,713.379,-970.703,-970.703,-970.215,-141.113
1575280167.992,-885.742,-970.703,-970.215,-978.516,461.426
1575280167.995,-977.051,-970.215,-970.215,-921.387,463.867
1575280167.999,-1000.000,-973.633,-970.703,-1000.000,226.074
1575280168.003,-118.164,-956.055,-971.191,-817.383,-154.297
1575280168.007,-844.238,-932.129,-907.715,-11.719,2.930
1575280168.011,-230.469,-1000.000,-1000.000,-675.781,592.773
1575280168.015,-1000.000,40.039,-189.941,-1000.000,386.719
1575280168.019,-1000.000,-885.742,-929.688,-1000.000,-4.395
1575280168.023,-235.352,955.078,982.910,-604.980,-271.484
1575280168.027,-791.016,988.281,972.168,990.234,-155.273
1575280168.031,154.297,-998.047,-994.141,105.957,397.949
1575280168.035,-1000.000,999.512,999.512,-1000.000,410.645
1575280168.038,-1000.000,999.512,999.512,-1000.000,8.301
1575280168.042,-228.516,999.512,999.512,-404.785,-295.410
