timestamps,TP9,AF7,AF8,TP10,Right AUX
1574477754.981,1.465,38.574,39.551,-31.738,21.973
1574477754.985,-4.395,32.227,33.203,-19.043,58.594
1574477754.989,-0.488,34.668,17.090,-11.230,-12.207
1574477754.993,-1.465,32.227,12.695,-17.578,12.207
1574477754.997,-15.137,33.203,19.043,-27.344,18.066
1574477755.001,-20.996,34.180,20.508,-37.598,19.043
1574477755.005,-12.695,30.762,23.926,-34.668,22.461
1574477755.009,2.930,40.527,17.578,-7.812,-17.090
1574477755.013,-2.930,44.434,17.090,-6.348,-21.973
1574477755.017,-20.020,33.203,32.715,-16.602,21.973
1574477755.021,-21.484,27.344,41.504,-16.113,46.875
1574477755.024,-9.277,32.227,32.715,-17.578,27.344
1574477755.028,-5.859,30.273,18.066,-4.883,-15.625
1574477755.032,-11.719,29.785,23.926,-15.625,-18.555
1574477755.036,-23.438,40.527,35.156,-20.020,45.898
1574477755.040,-32.715,36.133,34.180,-4.395,46.387
1574477755.044,-15.625,31.738,26.855,-7.812,18.555
1574477755.048,-3.418,37.598,22.949,-10.254,45.898
1574477755.052,4.395,40.039,30.273,-8.789,76.172
1574477755.056,1.465,39.062,23.926,-7.812,73.730
1574477755.060,-31.738,39.062,17.090,-3.906,50.781
1574477755.063,-36.621,40.039,12.695,-14.648,37.598
1574477755.067,-14.648,39.551,9.277,-1.953,5.859
1574477755.071,-3.906,43.457,15.137,8.789,16.602
1574477755.075,-13.184,45.410,20.996,12.695,27.832
1574477755.079,-20.020,40.527,28.809,11.230,10.742
1574477755.083,-18.066,33.203,28.809,-0.977,-28.320
1574477755.087,-11.719,31.738,22.949,-4.395,38.574
1574477755.091,1.953,39.062,23.926,-1.953,61.523
1574477755.095,-1.953,39.551,27.344,-7.324,-30.762
1574477755.099,-10.742,42.480,21.484,-14.648,-23.438
1574477755.103,-0.488,47.852,21.484,-2.930,19.043
1574477755.106,8.301,43.945,20.020,-6.836,18.066
1574477755.110,11.719,43.945,20.020,-6.836,0.488
1574477755.114,7.324,43.457,21.484,3.906,-4.883
1574477755.118,-5.371,38.574,17.090,-12.207,12.695
1574477755.122,-15.625,33.203,18.555,-23.438,40.527
1574477755.126,-5.371,31.738,13.672,-19.531,64.941
1574477755.130,8.789,30.762,7.324,-6.836,54.199
1574477755.134,11.719,31.250,2.441,-8.789,8.301
1574477755.138,-7.324,30.273,4.395,-6.836,-6.836
1574477755.142,-9.766,31.738,16.602,6.836,39.551
1574477755.145,-1.953,29.785,18.555,-17.090,2.441
1574477755.149,-6.348,26.367,15.625,-27.344,2.930
1574477755.153,-8.301,25.879,4.395,-15.137,57.129
1574477755.157,-22.949,20.996,-0.488,-15.137,46.875
1574477755.161,-18.555,26.367,6.836,-14.648,25.391
1574477755.165,-14.160,27.344,4.883,-18.555,17.090
1574477755.169,-15.137,26.855,-0.977,-14.160,39.062
1574477755.173,-5.859,23.438,6.836,-2.930,2.930
1574477755.177,-20.020,18.066,7.324,-15.625,-8.301
1574477755.181,-26.855,30.273,-0.977,-2.930,-7.812
1574477755.185,-20.020,29.297,-1.465,6.348,-40.039
1574477755.188,-19.043,16.113,4.395,-10.742,11.719
1574477755.192,-21.484,14.160,5.859,-11.230,39.551
1574477755.196,-28.320,15.137,3.906,-17.090,-1.465
1574477755.200,-31.250,16.113,9.277,-10.742,34.668
1574477755.204,-30.273,25.879,16.113,-3.906,10.254
1574477755.208,-18.555,24.414,18.555,-3.418,22.949
1574477755.212,-5.859,24.414,16.602,1.465,20.996
1574477755.216,-10.254,29.297,9.766,3.906,-24.902
1574477755.220,-20.020,28.320,14.160,6.348,15.625
1574477755.224,-22.461,25.391,22.461,11.230,26.855
1574477755.228,-9.766,22.949,21.484,26.367,30.273
1574477755.231,-0.977,25.391,17.090,31.738,2.930
1574477755.235,-3.418,31.738,16.602,2.930,-27.344
1574477755.239,-12.207,36.621,24.414,-17.090,31.250
1574477755.243,-7.812,38.086,38.574,-15.625,63.965
1574477755.247,-0.488,37.109,43.457,-20.996,109.375
1574477755.251,0.000,35.645,22.461,-28.809,113.770
1574477755.255,-5.859,35.645,17.578,-21.973,74.707
1574477755.259,-9.277,32.227,21.973,-4.395,39.551
1574477755.263,-15.137,24.414,-8.789,-14.648,31.738
1574477755.267,-17.578,28.809,-15.625,-11.719,10.742
1574477755.270,-1.953,38.086,3.418,3.418,25.391
1574477755.274,-11.719,30.762,4.395,-14.160,37.598
1574477755.278,-23.926,26.367,-1.465,-20.020,17.090
1574477755.282,-17.090,34.180,12.695,-11.230,33.203
1574477755.286,-11.230,30.762,22.461,3.418,8.789
1574477755.290,-11.719,18.066,18.066,0.488,24.902
1574477755.294,-17.578,20.508,32.227,-8.789,-12.695
1574477755.298,-26.367,24.414,38.086,7.812,-27.344
1574477755.302,-34.668,18.555,29.785,-6.348,36.621
1574477755.306,-21.484,21.484,32.227,-6.348,63.477
1574477755.310,-4.883,28.809,32.227,8.301,33.203
1574477755.313,-19.531,31.250,18.555,-14.648,24.902
1574477755.317,-37.598,31.738,18.066,-28.320,52.246
1574477755.321,-29.297,32.715,38.086,-11.719,5.859
1574477755.325,-17.090,33.691,42.969,-16.602,-42.969
1574477755.329,-12.695,28.320,38.086,-30.273,-74.707
1574477755.333,-11.719,20.508,41.016,-15.137,-35.156
1574477755.337,-21.484,24.414,37.598,-12.207,16.602
1574477755.341,-27.832,29.297,29.297,-20.020,18.555
1574477755.345,-22.949,28.320,20.020,-19.531,10.254
1574477755.349,0.488,32.227,3.906,-19.043,102.051
1574477755.353,12.695,37.109,0.977,-24.414,106.445
1574477755.356,-9.766,38.086,19.043,-24.902,85.449
1574477755.360,-17.090,39.551,46.387,-21.973,62.988
1574477755.364,-15.625,38.086,51.758,-31.250,20.996
1574477755.368,-19.531,29.785,39.551,-14.160,38.574
1574477755.372,-17.090,31.250,41.016,-4.883,5.371
1574477755.376,-20.996,31.250,42.480,-18.555,-17.090
1574477755.380,-19.043,29.297,39.551,-16.113,12.695
1574477755.384,-3.906,34.180,38.086,-15.137,33.691
1574477755.388,-6.348,32.227,34.180,-6.348,17.578
1574477755.392,-19.043,35.156,36.621,-9.766,-8.301
1574477755.395,-22.949,40.039,41.992,-26.367,13.672
1574477755.399,-24.902,26.855,36.621,-25.879,25.879
1574477755.403,-20.996,20.020,44.434,-29.785,-4.883
1574477755.407,-7.812,28.809,51.758,-26.855,-0.488
1574477755.411,-5.371,30.273,42.969,-10.254,-11.719
1574477755.415,-22.461,25.879,41.504,-3.418,-22.949
1574477755.419,-18.555,29.297,40.039,-20.996,-19.043
1574477755.423,-12.207,31.738,39.062,-27.344,-4.883
1574477755.427,-19.531,33.691,36.621,-25.879,-4.395
1574477755.431,-20.996,38.086,37.109,-19.531,18.066
1574477755.435,-24.902,30.273,46.387,-19.531,42.969
1574477755.438,-23.926,32.715,48.828,-39.551,7.812
1574477755.442,-22.949,30.762,42.480,-36.133,0.488
1574477755.446,-14.648,21.973,41.992,-4.883,-20.508
1574477755.450,-4.395,21.973,52.734,4.395,-27.344
1574477755.454,-11.230,18.555,40.527,-11.719,0.000
1574477755.458,-28.809,22.949,30.273,-21.973,-3.906
1574477755.462,-28.809,32.715,51.758,-16.602,-22.461
1574477755.466,-17.090,34.668,58.105,-9.277,21.973
1574477755.470,-9.766,32.227,46.875,8.789,33.691
1574477755.474,-2.441,29.785,47.852,11.230,11.230
1574477755.477,-16.602,30.273,51.270,2.930,10.742
1574477755.481,-22.949,31.250,41.504,-10.254,70.312
1574477755.485,-15.137,27.832,31.250,-24.414,96.680
1574477755.489,-5.859,27.832,36.133,-3.906,23.438
1574477755.493,-3.418,25.879,36.133,4.395,52.246
1574477755.497,-6.836,27.832,38.086,-5.859,23.438
1574477755.501,-5.371,33.203,43.945,-12.207,23.926
1574477755.505,-8.789,27.344,52.246,-7.812,82.031
1574477755.509,-2.441,23.926,60.547,5.859,77.637
1574477755.513,-1.465,31.250,61.523,-2.930,106.445
1574477755.517,-8.789,38.574,50.293,-1.465,76.660
1574477755.520,4.395,39.551,37.109,12.207,-13.184
1574477755.524,8.789,36.621,24.414,-8.789,-52.734
1574477755.528,-5.371,34.668,29.297,-13.184,12.207
1574477755.532,-0.488,37.598,45.410,-2.930,45.410
